verb,verb_lemma,noun,dep,id
armati,armato,manifestanti,nmod,5e4c4dac-1d61-421c-86ff-2fc1beff991a
uccise,ucciso,manifestanti,obj,fbdb1c67-7f55-4f3a-ba0c-16a4bd77f91b
caricati,caricato,manifestanti,obj,5ee7f079-b571-4634-964e-e7e8cbc0e233
era,essere,manifestante,ROOT,bb134a1d-d615-4a3f-9df3-7ddf32fa3c12
vestiti,vestito,manifestanti,nmod,592d3754-d6c4-411c-b9fb-1dd5d83599cc
volto,voltare,manifestanti,nmod,592d3754-d6c4-411c-b9fb-1dd5d83599cc
conosciuti,conosciuto,manifestanti,nmod,592d3754-d6c4-411c-b9fb-1dd5d83599cc
tornati,tornare,manifestanti,obj,592d3754-d6c4-411c-b9fb-1dd5d83599cc
risposero,rispondere,manifestanti,obj,592d3754-d6c4-411c-b9fb-1dd5d83599cc
pacifisti,pacifista,militanti,nmod,0abff01c-2772-48d8-aa9b-288a5ff2e983
pass,pass,manifestanti,obj,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
assalito,assalire,manifestanti,obj,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
uccise,ucciso,manifestanti,obj,f723e3a3-e57f-4759-8fd8-033a6b822a23
condannati,condannato,manifestanti,conj,f723e3a3-e57f-4759-8fd8-033a6b822a23
vestire,vestire,manifestanti,obj,a5f73e8e-f82d-4a11-a591-421502b3b984
procedeva,procedere,manifestanti,obj,a5f73e8e-f82d-4a11-a591-421502b3b984
ricordi,ricordo,manifestanti,obj,e372e81b-c289-4521-add3-437503086106
vestire,vestire,manifestanti,obj,6e191029-5190-4214-af01-c2353fd83695
procedeva,procedere,manifestanti,obj,6e191029-5190-4214-af01-c2353fd83695
riesce,riuscire,manifestante,obl,ac3eee87-9381-4a69-bea8-3b08a0b96820
picchiati,picchiare,manifestanti,nmod,6a12dcff-a7fb-44eb-8b64-4678db815c26
raggiunta,raggiungere,manifestanti,obj,c7f64933-2aea-4d66-944d-9eb88ba1c432
iniziato,iniziare,manifestanti,nsubj:pass,c7f64933-2aea-4d66-944d-9eb88ba1c432
