w,s,ntarget,ntogether
può,-4.647581585881016,628,36
egli,-4.5997416810505145,59,113
camionetta,-2.818562013699067,125,59
fatto,-4.20391361188256,998,103
mario,-2.704762629395376,297,133
italian,-4.103136516169868,56,112
servizi,-3.9120632238139867,135,55
carabiniere,-2.786549016673739,407,191
ultimo,-3.478497922605563,66,47
letto,-4.301903014019071,49,30
giorni,-4.804823458277948,536,32
stata,-3.864435174824732,663,100
ogni,-4.797276252642565,717,38
prende,-4.2468729496615865,41,50
sassi,-3.663500051516788,65,41
ordini,-3.093485556360467,31,29
opera,-4.758469348906396,84,41
fire,-3.791167892085803,35,29
metri,-3.5244089584520695,193,55
repubblica,-3.737463713113942,154,36
had,-3.8680730688605864,672,87
pd,-3.3666572664512167,158,65
alimonda,-2.6408909036289807,236,211
certa,-3.908735433721312,45,35
out,-4.325250378016062,84,25
no,-4.498429286556988,455,1620
essi,-4.6479367986318145,57,122
pur,-4.705935457125739,157,44
responsabilità,-3.5884281339534545,183,36
rappresenta,-4.0455946164385095,72,35
italiano,-4.070358128387271,187,40
dopo,-3.925527697500746,1409,187
cerca,-4.083819323215036,112,52
fra,-4.438451275961061,268,129
sur,-4.609722174837594,90,36
lato,-4.2186228365314635,71,54
leva,-3.56538133375824,49,87
comunale,-2.9422949181616853,189,69
piazza,-3.1397926343516627,971,295
roma,-4.723280507636708,269,45
manifestazione,-3.580809903068565,196,40
venti,-4.540436948429688,62,33
mezzo,-4.059940603318814,274,34
bullet,-3.031932473354275,69,30
was,-3.7700626415963705,453,65
applicants,-3.393455459605941,86,25
altro,-4.722498513021945,402,47
quel,-4.192498546750603,821,310
luglio,-3.2880373916474457,696,181
testa,-3.920649200847161,292,89
sopra,-4.671950176897974,111,31
mani,-4.036434927461401,156,249
cura,-4.587614642483552,43,30
partito,-4.306616298471169,248,25
dura,-3.2104234232083875,32,220
sparò,-2.0545404935524645,49,38
lati,-4.379317599286337,26,36
fermi,-3.4125589301715533,53,32
his,-3.9778929007151778,146,54
haidi,-2.420658378291479,46,31
guarda,-3.8230953288012044,62,53
parteggiavo,-1.8248395416920957,31,30
stato,-4.082512078005318,1732,222
19,-4.654138986427175,110,64
g8,-3.076719447942123,725,263
τον,-2.9677161690714335,80,29
prendere,-3.908284881787581,174,37
over,-4.339015220262315,56,111
figli,-3.748871666752553,82,59
soli,-4.706286790439264,66,34
defender,-2.941151407459606,237,105
las,-4.332064714435791,62,90
anni,-4.173366244943343,1373,226
sembra,-4.373517118985896,226,28
parti,-4.404890867739509,84,103
porta,-4.439913286336202,145,107
usa,-3.999914990851012,80,136
pare,-4.453425571440059,71,45
quindi,-4.064771128244342,359,53
consigliere,-2.7935305499597822,206,79
sotto,-4.7795056502936575,456,40
uffici,-4.294620112067818,43,51
fare,-4.932384683915966,672,35
ricorda,-3.7613149289361223,95,58
val,-4.693597823167723,38,57
quando,-4.273820605226006,1034,89
festa,-3.7512638335507806,35,217
tanto,-4.453962484204635,308,42
maggior,-4.3224993446441715,74,28
parte,-4.097977433359841,1096,168
comuni,-4.534412972334827,41,41
condanna,-4.334003169125656,178,35
time,-4.843193469550916,39,28
poi,-4.503955745321603,1194,103
vere,-4.2756906870676,35,70
fini,-4.7939419580904135,68,44
placanica,-2.7437175971312016,303,193
diaz,-4.150896990871283,331,50
auto,-4.2291215325909,65,94
diritti,-4.152987948245757,343,35
durante,-3.060033948449407,727,202
